transcript_id,SRX2000912,SRX2000913,SRX2000916,SRX2000917
JVCI|rna_AFUA_3G00110-1,0,0,0,0
JVCI|rna_AFUA_3G00120-1,3,0,2,0
JVCI|rna_AFUA_3G00100-1,3,0,3,0
MSTRG.3202.2,0,737,0,0
JVCI|rna_AFUA_3G00130-1,699,0,414,421
JVCI|rna_AFUA_3G00175-1,0,0,3,0
JVCI|rna_AFUA_3G00150-1,0,0,40,0
JVCI|rna_AFUA_3G00140-1,76,105,33,31
MSTRG.3201.1,257,265,257,265
JVCI|rna_AFUA_3G00170-1,21,17,10,8
JVCI|rna_AFUA_3G00200-1,8,0,7,6
JVCI|rna_AFUA_3G00180-1,0,0,0,0
MSTRG.3205.3,0,0,186,85
MSTRG.3205.1,414,525,95,176
MSTRG.3205.4,165,0,0,0
JVCI|rna_AFUA_3G00220-1,0,0,4,0
JVCI|rna_AFUA_3G00210-1,5,0,0,0
JVCI|rna_AFUA_3G00230-1,10,13,9,12
JVCI|rna_AFUA_3G00240-1,76,85,23,27
JVCI|rna_AFUA_3G00290-1,7,2,5,6
JVCI|rna_AFUA_3G00280-1,0,0,10,0
MSTRG.3207.1,10,14,0,0
MSTRG.3208.1,69,69,60,92
JVCI|rna_AFUA_3G00250-1,35,50,9,8
JVCI|rna_AFUA_3G00270-1,8248,8547,26391,25920
MSTRG.3209.1,405,403,516,589
JVCI|rna_AFUA_3G00310-1,18,6,0,0
JVCI|rna_AFUA_3G00320-1,7,4,10,4
MSTRG.3210.1,106,63,48,43
JVCI|rna_AFUA_3G00330-1,180,185,58,55
JVCI|rna_AFUA_3G00410-1,0,0,0,0
JVCI|rna_AFUA_3G00400-1,7,3,2,0
MSTRG.3215.1,294,279,163,179
JVCI|rna_AFUA_3G00430-1,0,3,0,0
JVCI|rna_AFUA_3G00420-1,0,0,0,32
MSTRG.3216.1,53,37,97,63
MSTRG.3212.1,1400,1454,1379,1580
JVCI|rna_AFUA_3G00340-1,191,87,309,71
JVCI|rna_AFUA_3G00350-1,43,35,89,76
JVCI|rna_AFUA_3G00360-1,37,44,44,42
JVCI|rna_AFUA_3G00370-1,735,763,264,288
JVCI|rna_AFUA_3G00380-1,17,13,7,6
JVCI|rna_AFUA_3G00480-1,2,0,0,0
MSTRG.3219.1,0,0,26,17
JVCI|rna_AFUA_3G00470-1,3,5,22,22
JVCI|rna_AFUA_3G00495-1,1,0,0,1
JVCI|rna_AFUA_3G00490-1,0,24,0,81
MSTRG.3220.2,88,54,74,0
MSTRG.3218.1,8,23,0,5
JVCI|rna_AFUA_3G00440-1,42,50,19,24
JVCI|rna_AFUA_3G00450-1,2,0,0,0
MSTRG.3217.2,432,414,166,159
JVCI|rna_AFUA_3G00510-1,2,2,26,26
MSTRG.3222.1,888,213,192,280
JVCI|rna_AFUA_3G00500-1,25,584,51,0
MSTRG.3227.2,0,12,31,35
JVCI|rna_AFUA_3G00550-1,0,0,0,7
JVCI|rna_AFUA_3G00540-1,33,25,0,0
